david s. wang,David S. Wang,Cloudera
david simpson,David Simpson,Microsoft
ddas,Devaraj Das,Hortonworks
ddeeter,Derek Deeter,Intuit
delia david,Delia David,Facebook
dennis kubes,Dennis Kubes,Bitly
derek deeter,Derek Deeter,Intuit
devaraj,Devaraj Das,Hortonworks
devaraj das,Devaraj Das,Hortonworks
devaraj k,Devaraj K,Huawei
dhruba,Dhruba Borthakur,Facebook
dhruba borthakur,Dhruba Borthakur,Facebook
dick king,Dick King,Apple
dmeil,Doug Meil,Explorys
dmitriy ryaboy,Dmitriy Ryaboy,Twitter
dmitriy v. ryaboy,Dmitriy V. Ryaboy,Twitter
dmytro molkov,Dmytro Molkov,Facebook
doug cutting,Doug Cutting,Cloudera
doug meil,Doug Meil,Explorys
douglass cutting,Doug Cutting,Cloudera
e. sammer,E. Sammer,Cloudera
eclark,Elliott Clark,Cloudera
edward capriolo,Edward Capriolo,Media6Degrees
edward j. yoon,Edward J. Yoon,Kt
edward yoon,Edward J. Yoon,Kt
egashira,Ryota Egashira,Yahoo!
eli collins,Eli Collins,Cloudera
elliott clark,Elliott Clark,Cloudera
enis,Enis Soztutar,Hortonworks
enis soztutar,Enis Soztutar,Hortonworks
eric hwang,Eric Hwang,Facebook
eric payne,Eric Payne,Yahoo!
eric sammer,Eric Sammer,Cloudera
eric yang,Eric Yang,Hortonworks
erik holstad,Erik Holstad,Xen
erik steffl,Erik Steffl,Yahoo!
erwin,Erwin Tam,Google
erwin tam,Erwin Tam,Google
esammer,Eric Sammer,Cloudera
espen amble kolstad,Espen Amble Kolstad,Finn
esteban gutierrez,Esteban Gutierrez,Cloudera
flavio,Flavio Junqueira,Yahoo!
flavio junqueira,Flavio Junqueira,Yahoo!
flavio paiva junqueira,Flavio Junqueira,Yahoo!
francis christopher liu,Francis Christopher Liu,Yahoo!
francis liu,Francis Christopher Liu,Yahoo!
gary helmling,Gary Helmling,Twitter
gary murry,gary murry,Yahoo!
garyh,Gary Helmling,Twitter
gates,Alan Gates,Hortonworks
gautam kowshik,Gautam Kowshik,Usc
gchanan,Gregory Chanan,Cloudera
gdfm,Gianmarco De Francisci Morales,Yahoo!
gianmarco de francisci morales,Gianmarco De Francisci Morales,Yahoo!
giridharan kesavan,Giridharan Kesavan,Hortonworks
girish vaitheeswaran,girish vaitheeswaran,Microsoft
gkesavan,Giridharan Kesavan,Hortonworks
